0.350000 0.125000	1.18791e-05
0.375000 0.125000	8.66628e-06
0.400000 0.125000	6.05805e-06
0.425000 0.125000	3.9821e-06
0.450000 0.125000	2.38238e-06
0.475000 0.125000	1.21908e-06
0.500000 0.125000	4.69128e-07
0.525000 0.125000	1.2689e-07
0.550000 0.125000	2.05077e-07
0.575000 0.125000	7.35771e-07
0.600000 0.125000	1.77156e-06
0.625000 0.125000	3.38683e-06
0.650000 0.125000	5.67932e-06
0.675000 0.125000	8.77217e-06
0.700000 0.125000	1.28169e-05
0.725000 0.125000	1.79983e-05
0.750000 0.125000	2.45429e-05
0.775000 0.125000	3.27367e-05
0.800000 0.125000	4.29656e-05
0.825000 0.125000	5.58268e-05
0.850000 0.125000	7.24765e-05
0.875000 0.125000	8.53032e-05
0.900000 0.125000	8.73262e-05
0.925000 0.125000	7.8192e-05
0.950000 0.125000	5.63124e-05
0.975000 0.125000	2.83869e-05
1.000000 0.125000	0

0.000000 0.150000	0
0.025000 0.150000	3.00028e-05
0.050000 0.150000	6.17387e-05
0.075000 0.150000	8.86929e-05
0.100000 0.150000	0.000102106
0.125000 0.150000	0.000102594
0.150000 0.150000	8.9843e-05
0.175000 0.150000	7.29595e-05
0.200000 0.150000	5.92018e-05
0.225000 0.150000	4.78081e-05
0.250000 0.150000	3.82849e-05
0.275000 0.150000	3.02953e-05
0.300000 0.150000	2.35928e-05
0.325000 0.150000	1.79868e-05
0.350000 0.150000	1.33241e-05
0.375000 0.150000	9.47917e-06
0.400000 0.150000	6.34947e-06
0.425000 0.150000	3.85234e-06
0.450000 0.150000	1.92412e-06
0.475000 0.150000	5.19931e-07
0.500000 0.150000	-3.85937e-07
0.525000 0.150000	-7.99162e-07
0.550000 0.150000	-7.0437e-07
0.575000 0.150000	-6.39358e-08
0.600000 0.150000	1.18335e-06
0.625000 0.150000	3.12386e-06
0.650000 0.150000	5.87117e-06
0.675000 0.150000	9.56894e-06
0.700000 0.150000	1.43956e-05
0.725000 0.150000	2.05719e-05
0.750000 0.150000	2.83743e-05
0.775000 0.150000	3.816e-05
0.800000 0.150000	5.04148e-05
0.825000 0.150000	6.58475e-05
0.850000 0.150000	8.55637e-05
0.875000 0.150000	0.000100607
0.900000 0.150000	0.000103027
0.925000 0.150000	9.21793e-05
0.950000 0.150000	6.64161e-05
0.975000 0.150000	3.36011e-05
1.000000 0.150000	0

0.000000 0.175000	0
0.025000 0.175000	3.35787e-05
0.050000 0.175000	6.86779e-05
0.075000 0.175000	9.82805e-05
0.100000 0.175000	0.000113172
0.125000 0.175000	0.000113851
0.150000 0.175000	0.000100178
0.175000 0.175000	8.18243e-05
0.200000 0.175000	6.65123e-05
0.225000 0.175000	5.36675e-05
0.250000 0.175000	4.28491e-05
0.275000 0.175000	3.37227e-05
0.300000 0.175000	2.60303e-05
0.325000 0.175000	1.95674e-05
0.350000 0.175000	1.41686e-05
0.375000 0.175000	9.69861e-06
0.400000 0.175000	6.04658e-06
0.425000 0.175000	3.12354e-06
0.450000 0.175000	8.60991e-07
0.475000 0.175000	-7.89201e-07
0.500000 0.175000	-1.8542e-06
0.525000 0.175000	-2.33917e-06
0.550000 0.175000	-2.22608e-06
0.575000 0.175000	-1.47236e-06
0.600000 0.175000	-9.51044e-09
0.625000 0.175000	2.25857e-06
0.650000 0.175000	5.45771e-06
0.675000 0.175000	9.74674e-06
0.700000 0.175000	1.53226e-05
0.725000 0.175000	2.24286e-05
0.750000 0.175000	3.13681e-05
0.775000 0.175000	4.25263e-05
0.800000 0.175000	5.6406e-05
0.825000 0.175000	7.36784e-05
0.850000 0.175000	9.52404e-05
0.875000 0.175000	0.00011154
0.900000 0.175000	0.0001141
0.925000 0.175000	0.000102037
0.950000 0.175000	7.37372e-05
0.975000 0.175000	3.75073e-05
1.000000 0.175000	0

0.000000 0.200000	0
0.025000 0.200000	3.61683e-05
0.050000 0.200000	7.36363e-05
0.075000 0.200000	0.000105099
0.100000 0.200000	0.000121102
0.125000 0.200000	0.000122067
0.150000 0.200000	0.000107957
0.175000 0.200000	8.87084e-05
0.200000 0.200000	7.23025e-05
0.225000 0.200000	5.83255e-05
0.250000 0.200000	4.64178e-05
0.275000 0.200000	3.62809e-05
0.300000 0.200000	2.76708e-05
0.325000 0.200000	2.03877e-05
0.350000 0.200000	1.42666e-05
0.375000 0.200000	9.17134e-06
0.400000 0.200000	4.98948e-06
0.425000 0.200000	1.63014e-06
0.450000 0.200000	-9.76952e-07
0.475000 0.200000	-2.88113e-06
0.500000 0.200000	-4.10979e-06
0.525000 0.200000	-4.66702e-06
0.550000 0.200000	-4.53212e-06
0.575000 0.200000	-3.65822e-06
0.600000 0.200000	-1.97098e-06
0.625000 0.200000	6.32865e-07
0.650000 0.200000	4.28737e-06
0.675000 0.200000	9.16028e-06
0.700000 0.200000	1.54578e-05
0.725000 0.200000	2.3432e-05
0.750000 0.200000	3.33923e-05
0.775000 0.200000	4.57213e-05
0.800000 0.200000	6.08957e-05
